Judul,Perusahaan,Lokasi,Jurusan
Back End Developer,Inspektorat Jenderal,"Jl. Jendral Gatot Subroto Kav. 51, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Sistem Informasi
Penelaah Teknis Kebijakan Sumber Daya Manusia Aparatur,Inspektorat Jenderal,"Jl. Jendral Gatot Subroto Kav. 51, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen Sumber Daya Manusia, Manajemen Sumber Daya Manusia Aparatur"
Penata Kelola Hukum dan Perundang-undangan pada Sekretariat Dewan Jaminan Sosial Nasional,Kementerian Koordinator Bidang Pemberdayaan Masyarakat,"Jl. Medan Merdeka Barat No. 3 Gambir, Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Hukum, Hukum"
Front End Developer,Inspektorat Jenderal,"Jl. Jendral Gatot Subroto Kav. 51, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Sistem Informasi
Back End Developer,Inspektorat Jenderal,"Jl. Jendral Gatot Subroto Kav. 51, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Sistem Informasi
Junior Graphic Designer,Inspektorat Jenderal,"Jl. Jendral Gatot Subroto Kav. 51, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi"
Database Analyst,Inspektorat Jenderal,"Jl. Jendral Gatot Subroto Kav. 51, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Sistem Informasi
Front End Developer,Inspektorat Jenderal,"Jl. Jendral Gatot Subroto Kav. 51, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Sistem Informasi
System Analyst,Inspektorat Jenderal,"Jl. Jendral Gatot Subroto Kav. 51, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Sistem Informasi
Back End Developer,Inspektorat Jenderal,"Jl. Jendral Gatot Subroto Kav. 51, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Sistem Informasi
Magang Pendukung Penjualan Korporasi,PT Pupuk Indonesia,"Jl Taman Anggrek, Kemanggisan Jaya Jakarta Barat, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Statistika, Akuntansi, Manajemen, Teknik Industri, Ilmu Komunikasi"
Magang Fungsional  Hubungan Industrial,PT Pupuk Indonesia,"Jl Taman Anggrek, Kemanggisan Jaya Jakarta Barat, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",Hukum
